Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
2021,CHA,1,Graham-Rozier-Hayward-Washington-Biyombo,254.4,1.02,1.13,-52,9,14,39.1
2021,CHA,2,Rozier-Ball-Hayward-Washington-Zeller,120.4,1.24,1.18,+21,6,7,46.1
2021,CHA,3,Rozier-Ball-Bridges-Hayward-Biyombo,85.5,1.08,1.24,-33,9,14,39.1
2021,CHA,4,Graham-Rozier-Cody.Martin-Bridges-Washington,80.5,1.38,1.16,+40,8,3,72.7
2021,CHA,5,Rozier-Ball-Washington-McDaniels-Biyombo,68.8,0.94,1.40,-68,1,6,14.2
2021,CHA,6,Graham-Rozier-Bridges-Washington-McDaniels,65.7,1.04,1.11,-3,3,4,42.8
2021,CHA,7,Graham-Rozier-Bridges-Hayward-Washington,64.8,1.23,0.93,+49,14,4,77.7
2021,CHA,8,Rozier-Ball-Bridges-Hayward-Zeller,61.4,1.03,1.24,-27,4,13,23.5
2021,CHA,9,Graham-Rozier-Bridges-Hayward-Biyombo,60.0,0.98,1.02,-12,7,8,46.6
2021,CHA,10,Rozier-Ball-Bridges-Hayward-Washington,52.7,1.27,1.21,+12,8,3,72.7
2021,CHA,11,Graham-Rozier-Hayward-Washington-Zeller,51.9,1.26,1.17,+12,4,2,66.6
2021,CHA,12,Rozier-Ball-Hayward-Washington-Biyombo,44.6,1.07,1.15,-7,3,6,33.3
2021,CHA,13,Graham-Ball-Caleb.Martin-Bridges-Washington,43.3,1.03,1.20,-15,4,6,40.0
2021,CHA,14,Graham-Rozier-Ball-Bridges-Washington,31.7,1.18,1.22,+0,3,5,37.5
2021,CHA,15,Graham-Rozier-Ball-Bridges-Biyombo,26.4,1.02,1.09,-5,3,5,37.5
2021,CHA,16,Graham-Rozier-Bridges-McDaniels-Biyombo,24.6,1.15,1.23,-4,3,4,42.8
2021,CHA,17,Rozier-Ball-Cody.Martin-Bridges-Washington,24.4,0.92,1.16,-17,2,5,28.5
2021,CHA,18,Graham-Rozier-Bridges-McDaniels-Zeller,24.1,1.14,1.20,-3,2,5,28.5
2021,CHA,19,Rozier-Monk-Bridges-Hayward-Washington,24.0,1.52,1.52,+3,3,2,60.0
2021,CHA,20,Graham-Monk-Cody.Martin-Bridges-Zeller,22.4,1.33,1.14,+3,2,2,50.0
