Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
2021,CHI,1,White-LaVine-Temple-Williams-CarterJr.,136.9,1.13,1.16,-9,5,8,38.4
2021,CHI,2,White-Temple-Williams-Theis-Vucevic,128.1,0.98,1.17,-54,2,7,22.2
2021,CHI,3,Satoransky-LaVine-Williams-T.Young-Vucevic,113.9,1.13,1.12,+3,6,3,66.6
2021,CHI,4,White-LaVine-Williams-Markkanen-CarterJr.,100.7,0.94,1.06,-24,4,5,44.4
2021,CHI,5,Satoransky-LaVine-Williams-T.Young-Markkanen,86.0,1.18,1.12,+10,5,3,62.5
2021,CHI,6,White-LaVine-PorterJr.-Williams-CarterJr.,65.7,1.07,1.32,-40,2,10,16.6
2021,CHI,7,White-LaVine-Williams-T.Young-Markkanen,56.3,1.09,1.21,-8,4,7,36.3
2021,CHI,8,White-Temple-Williams-T.Young-Vucevic,55.3,1.38,1.03,+43,9,2,81.8
2021,CHI,9,White-LaVine-Williams-Markkanen-Gafford,50.7,0.93,1.36,-49,1,7,12.5
2021,CHI,10,White-LaVine-Temple-Williams-T.Young,49.0,1.28,1.34,-20,7,8,46.6
2021,CHI,11,White-LaVine-Williams-Theis-Vucevic,48.0,1.14,1.12,+1,2,2,50.0
2021,CHI,12,Satoransky-LaVine-Temple-Williams-T.Young,43.8,1.42,1.12,+26,4,4,50.0
2021,CHI,13,White-LaVine-Temple-T.Young-Markkanen,34.0,1.13,1.18,-5,3,5,37.5
2021,CHI,14,White-Temple-Williams-T.Young-Markkanen,32.8,1.03,0.90,+9,3,2,60.0
2021,CHI,15,White-Temple-Valentine-T.Young-Gafford,30.9,1.02,1.01,-3,3,5,37.5
2021,CHI,16,White-LaVine-Temple-T.Young-CarterJr.,30.6,1.43,1.20,+17,3,2,60.0
2021,CHI,17,White-LaVine-Williams-T.Young-Vucevic,29.3,1.02,1.30,-15,3,5,37.5
2021,CHI,18,White-Temple-Williams-T.Young-Theis,26.7,0.79,1.24,-29,0,4,0.0
2021,CHI,19,White-LaVine-Temple-PorterJr.-CarterJr.,24.7,1.13,1.26,-4,1,3,25.0
2021,CHI,20,Arcidiacono-White-Valentine-PorterJr.-CarterJr.,24.5,0.88,1.00,-6,3,3,50.0
