Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
2021,PHO,1,Paul-Booker-Bridges-Crowder-Ayton,694.4,1.20,1.14,+77,26,23,53.0
2021,PHO,2,Paul-Booker-Bridges-C.Johnson-Ayton,192.5,1.23,1.15,+44,17,7,70.8
2021,PHO,3,Paul-Booker-Bridges-Kaminsky-Ayton,160.8,1.21,1.11,+28,7,5,58.3
2021,PHO,4,Payne-Booker-Bridges-Crowder-Ayton,125.0,1.27,1.18,+23,14,16,46.6
2021,PHO,5,Paul-Booker-Craig-Bridges-Ayton,105.2,1.31,1.21,+22,8,5,61.5
2021,PHO,6,Paul-Bridges-Crowder-C.Johnson-Ayton,81.6,1.17,0.93,+40,6,4,60.0
2021,PHO,7,Paul-Booker-Bridges-Crowder-Saric,64.6,1.07,0.99,+25,13,5,72.2
2021,PHO,8,Paul-Booker-Crowder-C.Johnson-Ayton,55.4,1.19,1.13,+11,4,6,40.0
2021,PHO,9,Payne-Booker-Bridges-C.Johnson-Ayton,55.1,1.24,1.16,+11,13,8,61.9
2021,PHO,10,Carter-Payne-Craig-C.Johnson-Saric,41.9,1.20,1.05,+11,4,4,50.0
2021,PHO,11,Payne-Booker-Craig-C.Johnson-Saric,41.3,1.00,1.23,-23,5,10,33.3
2021,PHO,12,Paul-Carter-Craig-C.Johnson-Saric,36.9,1.25,1.35,-9,4,6,40.0
2021,PHO,13,Payne-Booker-Bridges-Crowder-Saric,34.7,1.41,1.08,+27,6,4,60.0
2021,PHO,14,Paul-Booker-Bridges-Saric-Ayton,34.0,1.17,1.11,+4,5,2,71.4
2021,PHO,15,Payne-Booker-Bridges-C.Johnson-Saric,32.4,1.30,0.97,+27,7,3,70.0
2021,PHO,16,Payne-Booker-Craig-Bridges-Ayton,32.3,1.14,1.38,-14,3,6,33.3
2021,PHO,17,Payne-Moore-Crowder-C.Johnson-Saric,29.6,1.06,1.18,-7,2,3,40.0
2021,PHO,18,Payne-Galloway-Craig-C.Johnson-Saric,29.1,1.24,1.13,+11,2,2,50.0
2021,PHO,19,Payne-Booker-Crowder-C.Johnson-Saric,28.3,1.13,1.24,-10,4,8,33.3
2021,PHO,20,Payne-Booker-Crowder-C.Johnson-Ayton,27.0,1.07,1.30,-11,7,9,43.7
