Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
2021,WAS,1,Westbrook-Beal-Mathews-Hachimura-Wagner,131.4,1.06,1.14,-27,4,11,26.6
2021,WAS,2,Westbrook-Beal-Mathews-Hachimura-Len,94.5,1.14,1.22,-19,2,6,25.0
2021,WAS,3,Westbrook-Beal-Avdija-Hachimura-Len,89.7,1.04,1.06,-7,8,6,57.1
2021,WAS,4,Neto-Westbrook-Avdija-Bertans-R.Lopez,88.1,1.03,1.14,-15,5,8,38.4
2021,WAS,5,Westbrook-Beal-Hachimura-Bertans-R.Lopez,57.7,1.09,1.20,-8,5,9,35.7
2021,WAS,6,Westbrook-Beal-Hachimura-Bertans-Len,56.0,1.06,1.15,-5,4,5,44.4
2021,WAS,7,Neto-Beal-Avdija-Hachimura-R.Lopez,55.2,1.29,1.34,-9,4,7,36.3
2021,WAS,8,Westbrook-Beal-Avdija-Hachimura-R.Lopez,53.0,1.27,1.22,-1,6,6,50.0
2021,WAS,9,Neto-Westbrook-Beal-Hachimura-Len,52.7,1.33,1.13,+21,3,2,60.0
2021,WAS,10,Westbrook-Beal-Avdija-Hachimura-Bryant,42.5,1.12,1.18,-11,1,3,25.0
2021,WAS,11,Smith-Westbrook-Hutchison-Bertans-R.Lopez,40.0,1.17,1.14,+0,4,3,57.1
2021,WAS,12,Neto-Westbrook-Beal-Bertans-R.Lopez,36.9,1.52,1.10,+38,10,1,90.9
2021,WAS,13,Neto-Westbrook-Avdija-Bertans-Len,36.2,1.04,0.89,+12,3,3,50.0
2021,WAS,14,Westbrook-Beal-Hachimura-Bertans-Wagner,35.8,1.04,1.20,-10,2,6,25.0
2021,WAS,15,Westbrook-Jer.Robinson-Avdija-Hachimura-Len,35.2,0.97,1.10,-10,1,2,33.3
2021,WAS,16,Westbrook-Beal-Mathews-Hachimura-R.Lopez,34.7,1.02,1.05,+1,3,5,37.5
2021,WAS,17,Neto-Beal-Avdija-Bertans-R.Lopez,33.6,1.32,1.18,+12,6,4,60.0
2021,WAS,18,Neto-Westbrook-Beal-Gill-Len,33.6,1.17,1.21,-3,2,2,50.0
2021,WAS,19,Westbrook-Beal-Hachimura-Bertans-Gafford,33.5,1.11,1.16,-1,2,4,33.3
2021,WAS,20,Neto-Westbrook-Avdija-Hachimura-R.Lopez,30.9,1.07,1.12,+0,7,4,63.6
