Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
2122,PHI,1,Maxey-Harden-Thybulle-Harris-Embiid,316.3,1.25,1.05,+127,15,5,75.0
2122,PHI,2,Maxey-Curry-Thybulle-Harris-Embiid,251.3,1.08,1.19,-55,2,16,11.1
2122,PHI,3,Maxey-Curry-Green-Harris-Embiid,244.6,1.15,1.07,+52,10,6,62.5
2122,PHI,4,Maxey-Korkmaz-Thybulle-Harris-Embiid,83.3,1.14,1.05,+8,6,3,66.6
2122,PHI,5,Maxey-Harden-Green-Harris-Embiid,73.2,1.27,1.16,+14,6,5,54.5
2122,PHI,6,Milton-Korkmaz-Thybulle-Niang-Drummond,65.8,1.12,0.96,+27,7,3,70.0
2122,PHI,7,Curry-Milton-Green-Harris-Embiid,60.6,1.15,1.22,-5,2,5,28.5
2122,PHI,8,Maxey-Thybulle-Green-Harris-Embiid,55.5,1.04,1.15,-14,3,5,37.5
2122,PHI,9,Maxey-Harden-Harris-Niang-Embiid,51.1,1.17,1.28,+3,4,6,40.0
2122,PHI,10,Maxey-Curry-Korkmaz-Harris-Embiid,49.3,1.35,1.19,+17,5,6,45.4
2122,PHI,11,Maxey-Curry-Green-Harris-Drummond,48.2,1.21,1.17,-1,4,4,50.0
2122,PHI,12,Curry-Korkmaz-Thybulle-Harris-Embiid,46.5,1.18,1.11,+2,4,3,57.1
2122,PHI,13,Maxey-Curry-Harris-Niang-Embiid,41.7,1.27,1.00,+24,7,4,63.6
2122,PHI,14,Maxey-Curry-Harris-Niang-Drummond,38.3,1.16,1.28,-9,3,4,42.8
2122,PHI,15,Maxey-Thybulle-Harris-Niang-Embiid,38.1,1.07,1.29,-21,2,8,20.0
2122,PHI,16,Maxey-Korkmaz-Harris-Niang-Embiid,35.3,1.38,1.15,+20,3,1,75.0
2122,PHI,17,Maxey-Curry-Korkmaz-Green-Drummond,35.3,1.17,1.06,+7,1,1,50.0
2122,PHI,18,Curry-Korkmaz-Green-Harris-Embiid,34.9,1.03,1.25,-19,1,3,25.0
2122,PHI,19,Maxey-Milton-Green-Niang-Embiid,33.8,1.04,1.12,+0,6,7,46.1
2122,PHI,20,Maxey-Curry-Thybulle-Niang-Embiid,33.3,1.03,0.85,+9,5,4,55.5
