Year,Team,#,Unit,Min,Off,Def,+/-,W,L,Win%
2122,UTA,1,Conley-Mitchell-O'Neale-Bogdanovic-Gobert,649.8,1.21,1.14,+93,24,17,58.5
2122,UTA,2,Conley-Clarkson-Ingles-Gay-Gobert,222.2,1.19,1.02,+85,17,8,68.0
2122,UTA,3,Mitchell-Clarkson-O'Neale-Bogdanovic-Whiteside,215.8,1.21,1.11,+40,23,21,52.2
2122,UTA,4,Mitchell-O'Neale-Bogdanovic-Ingles-Whiteside,121.7,1.14,1.16,-2,11,11,50.0
2122,UTA,5,Conley-Clarkson-Ingles-Paschall-Gobert,116.8,1.18,1.02,+39,6,6,50.0
2122,UTA,6,Conley-O'Neale-Bogdanovic-Ingles-Gobert,86.2,1.08,1.08,+4,3,4,42.8
2122,UTA,7,Mitchell-Clarkson-O'Neale-Bogdanovic-Gobert,81.7,1.15,1.09,+8,12,16,42.8
2122,UTA,8,Conley-Clarkson-HouseJr.-Gay-Gobert,73.7,0.99,0.87,+24,4,3,57.1
2122,UTA,9,Mitchell-O'Neale-Bogdanovic-Ingles-Gobert,72.9,1.22,1.08,+21,10,7,58.8
2122,UTA,10,Conley-Mitchell-O'Neale-Bogdanovic-Whiteside,72.3,1.37,1.17,+27,6,8,42.8
2122,UTA,11,Mitchell-Forrest-O'Neale-Bogdanovic-Whiteside,58.9,1.38,1.12,+28,7,5,58.3
2122,UTA,12,Conley-Mitchell-O'Neale-Bogdanovic-Azubuike,51.1,1.05,1.00,+4,3,2,60.0
2122,UTA,13,Forrest-Clarkson-Ingles-Gay-Gobert,48.4,1.15,1.05,+8,10,9,52.6
2122,UTA,14,Conley-Mitchell-O'Neale-Hernangomez-Gobert,44.4,1.15,1.05,+8,2,1,66.6
2122,UTA,15,Mitchell-Clarkson-O'Neale-Bogdanovic-Gay,38.8,1.06,1.32,-22,1,7,12.5
2122,UTA,16,Conley-Clarkson-HouseJr.-Hernangomez-Gobert,38.6,1.47,0.97,+37,3,0,100
2122,UTA,17,Forrest-Clarkson-O'Neale-Bogdanovic-Whiteside,36.0,1.07,1.15,-9,1,4,20.0
2122,UTA,18,Mitchell-Clarkson-Ingles-Gay-Whiteside,35.5,1.16,1.32,-16,4,6,40.0
2122,UTA,19,Conley-Mitchell-Bogdanovic-Ingles-Gobert,33.9,1.17,0.84,+25,5,0,100
2122,UTA,20,Mitchell-Forrest-Clarkson-O'Neale-Whiteside,30.5,1.34,1.02,+25,3,1,75.0
